"Model","n_neighbors","n_samples","RMSE_train","MAE_train","R_squared_train","RMSE_test","MAE_test","R_squared_test","Runtime_train","Runtime_test"
1,5,100,0.209875543731647,0.172935974439585,0.999929044983329,15.6216821470283,12.1035026564937,0.661457443403055,0.0183341503143311,0.0028841495513916
2,5,500,0.138702591723071,0.103916786840121,0.999969009499504,15.4582943328435,12.1633354871655,0.668502070676426,0.0491130352020264,0.013049840927124
3,5,1000,0.083262312152729,0.0669380491502574,0.999988832489446,15.2847427587598,12.0509605551056,0.67590379663279,0.0963649749755859,0.0262057781219482
4,10,100,0.22767821201177,0.181425740850658,0.999916496941624,15.5494401607967,12.1015700206287,0.664581362606287,0.0262870788574219,0.00755906105041504
5,10,500,0.282029569426211,0.220643261065822,0.999871870619434,15.6876684703157,12.2886333609748,0.658591380841771,0.125443935394287,0.0374670028686523
6,10,1000,0.0845074698453514,0.0662991737551889,0.999988495979788,15.0516149070876,11.9429158425839,0.685714841756402,0.253225088119507,0.070868968963623
7,15,100,0.731759362755987,0.558703307013187,0.999137426694662,15.7838957337821,12.3543109805564,0.654390173267695,0.0503969192504883,0.0150601863861084
8,15,500,0.560131562155557,0.411232633923458,0.999494595007568,15.6475000934171,12.3144730857827,0.660337500469585,0.232653856277466,0.0719900131225586
9,15,1000,0.114177578025234,0.0870969496624297,0.999978999913163,15.3008561524022,12.1263815104598,0.675220102770034,0.46840500831604,0.155889987945557
